id,address,style,year,lat,lon
102,820 Jenifer St,Old Style,1870,43.07824,-89.370206
103,751 Jenifer St,Flat,1870,43.077332,-89.370669
104,809 Mayer Ave,Old Style,1870,43.108551,-89.353742
105,710 Dexter St,Flat,1870,43.1084559,-89.353245
106,1021 Troy Dr,Old Style,1870,43.133316,-89.379074
107,1835 E Main St,Flat,1870,43.0901829,-89.3596783
108,748 Jenifer St,Old Style,1870,43.077629,-89.371358
109,23 N Franklin St,Old Style,1871,43.078668,-89.380218
110,420 N Carroll St,Victorian georgian regency,1871,43.077066,-89.389894
111,625 W Lakeside St,Victorian georgian regency,1871,43.055713,-89.3927889
112,17 N Webster St,Old Style,1872,43.076819,-89.382492
113,938 Woodrow St,Old Style,1872,43.056012,-89.424224
114,754 Jenifer St,Old Style,1873,43.077715,-89.371125
115,749 Baltzell St,Colonial,1873,43.055905,-89.431263
116,629 S Dickinson St,Flat,1874,43.084123,-89.358095
117,825 E Gorham St,Old Style,1874,43.08419,-89.377812
118,430 W Doty St,Old Style,1874,43.069404,-89.388104
119,318 E Mifflin St,Flat,1874,43.078157,-89.38193
120,142 N Hancock St,Flat,1874,43.0791183,-89.3827877
121,1141 E Johnson St,Old Style,1874,43.087617,-89.371149
122,827 E Gorham St,Old Style,1874,43.084282,-89.3776819
123,428 Castle Pl,Flat,1874,43.086197,-89.377362
124,212 N Livingston St,Old Style,1874,43.08268,-89.377722
125,125 N Butler St,Flat,1874,43.078424,-89.382883
126,1147 Jenifer St,Old Style,1874,43.082191,-89.363525
127,813 Williamson St,Flat,1874,43.078378,-89.3707249
128,15 W Gilman St,Flat,1874,43.07761,-89.389124
129,128 Proudfit St,Bungalow,1874,43.065318,-89.393227
130,405 W Washington Ave,Old Style,1874,43.070995,-89.388824
131,717 E Johnson St,Old Style,1874,43.082133,-89.37895
132,404 W Mifflin St,Old Style,1874,43.072284,-89.390437
133,719 E Johnson St,Flat,1874,43.082249,-89.378786
134,203 N Hamilton St,Apartment,1874,43.077837,-89.383792
135,205 N Frances St,Flat,1874,43.071106,-89.39563
136,116 N Broom St,Old Style,1874,43.0724803,-89.3906876
137,542 W Dayton St,Ranch,1874,43.071012,-89.3952268
138,714 E Johnson St,Old Style,1874,43.082485,-89.379525
139,916 Vilas Ave,Old Style,1874,43.063469,-89.401567
140,205 W Gilman St,Apartment,1874,43.075643,-89.39176
141,137 Proudfit St,Flat,1874,43.065517,-89.39234
